/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/policy/gate.rs:8 | INTERNAL | sem_os_core::types::Classification | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/policy/gate.rs:9 | INTERNAL | sem_os_policy::abac::ActorContext | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/dsl-runtime/src/domain_ops/affinity_graph_cache.rs:17 | INTERNAL | sem_os_core::types:: | dsl-runtime
/Users/adamtc007/Developer/ob-poc/rust/crates/dsl-runtime/src/domain_ops/affinity_graph_cache.rs:20 | INTERNAL | sem_os_policy::affinity::AffinityGraph | dsl-runtime
/Users/adamtc007/Developer/ob-poc/rust/crates/dsl-runtime/src/cross_workspace/gate_checker.rs:40 | INTERNAL | dsl_core::config::dag::CrossWorkspaceConstraint | dsl-runtime
/Users/adamtc007/Developer/ob-poc/rust/crates/dsl-runtime/src/cross_workspace/gate_checker.rs:40 | INTERNAL | dsl_core::config::dag::StateSelector | dsl-runtime
/Users/adamtc007/Developer/ob-poc/rust/crates/dsl-runtime/src/cross_workspace/gate_checker.rs:41 | INTERNAL | dsl_core::config::DagRegistry | dsl-runtime
/Users/adamtc007/Developer/ob-poc/rust/crates/dsl-runtime/src/cross_workspace/gate_checker.rs:277 | GLOB | dsl_core::config::dag::Severity::* | dsl-runtime
/Users/adamtc007/Developer/ob-poc/rust/crates/dsl-runtime/src/cross_workspace/gate_checker.rs:293 | INTERNAL | dsl_core::config::dag::Dag | dsl-runtime
/Users/adamtc007/Developer/ob-poc/rust/crates/dsl-runtime/src/cross_workspace/gate_checker.rs:293 | INTERNAL | dsl_core::config::dag::LoadedDag | dsl-runtime
